,CompanyName,JobTitle,JobDescription,Overall_rating,Comp_Benefits,Culture_Values,Career_Opportunities,Work_Life_Balance,Senior_Management
To be succeed in this role, you must have proven working experience as a data or business analyst with good knowledge in reporting packages, database, and programming.

Job Requirements:
Bachelor's degree in statistics, computer science, information technology or related disciplines;
minimum five years of relevant working experiences in IT, preferably in data analytics and/or business process re-engineering;
strong knowledge in data warehouse architect, statistical tools, big data analytics tools, and/or business intelligence tools;
preferably experience in finance industry with large project experience;
proficiency in both English and Cantonese;

Interested individuals can click apply now and send updated resume (in WORD format) to Bonnie Chan for further information.

For a more comprehensive list of current opportunities, please visit www.connectedgroup.com

#StayConnected",4,3.5,4.3,4.3,3.6,3.9

291,RecruitFirst Limited,Data Analyst (Beauty / eCommerce / Digital Marketing),"RecruitFirstis the fastest growing human resource consultancy in the Asia Pacific. We are focused on providing our clients temporary, contract and permanent employment solutions, ranging from support to management roles. Our specialization lies in theBanking and Finance, Insurance, Fast Moving Consumer Goods (FMCG), Luxury Retail and Infocommunicationssectors.

Premise on our mission to help people find better jobs and organizations find better people,RecruitFirstis dedicated to ensuring that the best candidates and employers are connected via the rigorous recruitment processes and extensive database that we are continuously developing.

Responsibilities:
Be responsible for data extraction, data cleaning, report development, ad-hoc analysis and database management

Develop project documentation

Understand business needs and build visualized dashboards / reports from different data sources with automation in mind

Manage tracking tools, provide insights and support team members

Work directly with the Technical/Product Manager to help digital marketing teams to analyze data from different analytics sources

Oversee the execution of digital campaigns and participate in projects
